Aika;Alue;val
Vuosi 2020 Viikko 01;Kaikki Alueet;1
Vuosi 2020 Viikko 02;Kaikki Alueet;0
Vuosi 2020 Viikko 03;Kaikki Alueet;0
Vuosi 2020 Viikko 04;Kaikki Alueet;0
Vuosi 2020 Viikko 05;Kaikki Alueet;1
Vuosi 2020 Viikko 06;Kaikki Alueet;0
Vuosi 2020 Viikko 07;Kaikki Alueet;1
Vuosi 2020 Viikko 08;Kaikki Alueet;1
Vuosi 2020 Viikko 09;Kaikki Alueet;7
Vuosi 2020 Viikko 10;Kaikki Alueet;34
Vuosi 2020 Viikko 11;Kaikki Alueet;317
Vuosi 2020 Viikko 12;Kaikki Alueet;540
Vuosi 2020 Viikko 13;Kaikki Alueet;642
Vuosi 2020 Viikko 14;Kaikki Alueet;966
Vuosi 2020 Viikko 15;Kaikki Alueet;931
Vuosi 2020 Viikko 16;Kaikki Alueet;790
Vuosi 2020 Viikko 17;Kaikki Alueet;736
Vuosi 2020 Viikko 18;Kaikki Alueet;623
Vuosi 2020 Viikko 19;Kaikki Alueet;617
Vuosi 2020 Viikko 20;Kaikki Alueet;396
Vuosi 2020 Viikko 21;Kaikki Alueet;221
Vuosi 2020 Viikko 22;Kaikki Alueet;163
Vuosi 2020 Viikko 23;Kaikki Alueet;99
Vuosi 2020 Viikko 24;Kaikki Alueet;54
Vuosi 2020 Viikko 25;Kaikki Alueet;51
Vuosi 2020 Viikko 26;Kaikki Alueet;53
Vuosi 2020 Viikko 27;Kaikki Alueet;46
Vuosi 2020 Viikko 28;Kaikki Alueet;38
Vuosi 2020 Viikko 29;Kaikki Alueet;43
Vuosi 2020 Viikko 30;Kaikki Alueet;56
Vuosi 2020 Viikko 31;Kaikki Alueet;84
Vuosi 2020 Viikko 32;Kaikki Alueet;169
Vuosi 2020 Viikko 33;Kaikki Alueet;175
Vuosi 2020 Viikko 34;Kaikki Alueet;192
Vuosi 2020 Viikko 35;Kaikki Alueet;156
Vuosi 2020 Viikko 36;Kaikki Alueet;236
Vuosi 2020 Viikko 37;Kaikki Alueet;354
Vuosi 2020 Viikko 38;Kaikki Alueet;470
Vuosi 2020 Viikko 39;Kaikki Alueet;719
Vuosi 2020 Viikko 40;Kaikki Alueet;1130
Vuosi 2020 Viikko 41;Kaikki Alueet;1626
Vuosi 2020 Viikko 42;Kaikki Alueet;1276
