date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Y-W,province
2020-12-28,-38.0,-21.5,2.0,-65.75,-34.0,11.75,2020-53,South Karelia
2021-01-04,-26.857142857142858,-10.285714285714286,1.0,-63.57142857142857,-25.428571428571427,10.714285714285714,2021-1,South Karelia
2021-01-11,-27.857142857142858,-12.0,-6.857142857142857,-60.857142857142854,-14.285714285714286,9.285714285714286,2021-2,South Karelia
2021-01-18,-25.714285714285715,-10.714285714285714,7.142857142857143,-59.285714285714285,-14.0,8.142857142857142,2021-3,South Karelia
2021-01-25,-25.0,-8.571428571428571,2.857142857142857,-59.142857142857146,-12.0,7.285714285714286,2021-4,South Karelia
2021-02-01,-25.0,-7.428571428571429,-0.5714285714285714,-59.142857142857146,-12.142857142857142,8.0,2021-5,South Karelia
2021-02-08,-22.714285714285715,-4.285714285714286,3.2857142857142856,-59.285714285714285,-10.714285714285714,8.0,2021-6,South Karelia
2021-02-15,-24.0,-3.857142857142857,10.142857142857142,-59.0,-11.0,8.571428571428571,2021-7,South Karelia
2021-02-22,-22.428571428571427,-0.14285714285714285,2.4285714285714284,-56.57142857142857,-17.285714285714285,8.142857142857142,2021-8,South Karelia
2021-03-01,-28.857142857142858,-2.857142857142857,1.1428571428571428,-61.285714285714285,-31.428571428571427,9.857142857142858,2021-9,South Karelia
2021-03-08,-43.57142857142857,-4.142857142857143,3.0,-65.71428571428571,-24.428571428571427,11.428571428571429,2021-10,South Karelia
2021-03-15,-43.285714285714285,-4.285714285714286,0.7142857142857143,-65.0,-23.857142857142858,10.714285714285714,2021-11,South Karelia
2021-03-22,-41.714285714285715,-3.857142857142857,6.428571428571429,-63.714285714285715,-23.714285714285715,10.285714285714286,2021-12,South Karelia
2021-03-29,-42.0,0.7142857142857143,14.0,-62.857142857142854,-38.857142857142854,11.0,2021-13,South Karelia
2021-04-05,-34.0,1.7142857142857142,1.0,-61.714285714285715,-20.0,9.285714285714286,2021-14,South Karelia
2021-04-12,-23.142857142857142,7.857142857142857,0.0,-58.0,-13.0,5.285714285714286,2021-15,South Karelia
2021-04-19,-18.571428571428573,4.714285714285714,8.428571428571429,-57.42857142857143,-10.285714285714286,6.571428571428571,2021-16,South Karelia
2021-04-26,-18.0,6.857142857142857,0.0,-54.0,-11.571428571428571,4.428571428571429,2021-17,South Karelia
2021-05-03,-14.428571428571429,8.714285714285714,9.285714285714286,-53.857142857142854,-6.571428571428571,5.142857142857143,2021-18,South Karelia
2021-05-10,-6.857142857142857,19.142857142857142,0.0,-45.0,-18.714285714285715,1.4285714285714286,2021-19,South Karelia
2021-05-17,-10.0,12.142857142857142,0.0,-50.42857142857143,-6.142857142857143,2.857142857142857,2021-20,South Karelia
2021-05-24,-1.8571428571428572,17.142857142857142,0.0,-50.57142857142857,-5.571428571428571,1.5714285714285714,2021-21,South Karelia
2021-05-31,7.142857142857143,26.714285714285715,0.0,-43.57142857142857,-5.0,-1.8571428571428572,2021-22,South Karelia
2021-06-07,5.285714285714286,23.428571428571427,0.0,-39.42857142857143,-22.0,-0.8571428571428571,2021-23,South Karelia
2021-06-14,8.142857142857142,28.0,0.0,-38.142857142857146,-23.0,-2.142857142857143,2021-24,South Karelia
2021-06-21,-0.14285714285714285,31.0,0.0,-33.57142857142857,-35.57142857142857,-2.857142857142857,2021-25,South Karelia
2021-06-28,16.142857142857142,34.0,0.0,-27.428571428571427,-26.428571428571427,-2.0,2021-26,South Karelia
2021-07-05,16.714285714285715,35.857142857142854,0.0,-26.428571428571427,-28.714285714285715,-1.5714285714285714,2021-27,South Karelia
2021-07-12,19.857142857142858,37.285714285714285,0.0,-28.142857142857142,-29.142857142857142,-1.5714285714285714,2021-28,South Karelia
2021-07-19,23.857142857142858,35.714285714285715,0.0,-25.571428571428573,-27.571428571428573,-0.2857142857142857,2021-29,South Karelia
2021-07-26,15.571428571428571,28.714285714285715,0.0,-20.142857142857142,-27.428571428571427,1.0,2021-30,South Karelia
2021-08-02,12.857142857142858,25.0,0.0,-31.571428571428573,-23.142857142857142,1.2857142857142858,2021-31,South Karelia
2021-08-09,8.285714285714286,22.571428571428573,0.0,-33.57142857142857,-17.857142857142858,0.14285714285714285,2021-32,South Karelia
2021-08-16,3.142857142857143,17.857142857142858,0.0,-36.857142857142854,-14.571428571428571,1.4285714285714286,2021-33,South Karelia
2021-08-23,1.7142857142857142,17.428571428571427,0.0,-37.857142857142854,-9.571428571428571,0.5714285714285714,2021-34,South Karelia
2021-08-30,4.142857142857143,20.0,0.0,-39.42857142857143,-6.142857142857143,1.2857142857142858,2021-35,South Karelia
2021-09-06,-0.2857142857142857,16.714285714285715,0.0,-41.0,-4.857142857142857,1.7142857142857142,2021-36,South Karelia
2021-09-13,-1.5714285714285714,13.428571428571429,0.0,-41.285714285714285,-8.714285714285714,1.7142857142857142,2021-37,South Karelia
2021-09-20,-3.142857142857143,9.571428571428571,0.0,-41.57142857142857,-10.0,2.142857142857143,2021-38,South Karelia
2021-09-27,-3.0,6.428571428571429,0.0,-45.857142857142854,-12.285714285714286,1.5714285714285714,2021-39,South Karelia
