Central Finland,Central Ostrobothnia,Kainuu,Kymenlaakso,Lapland,North Karelia,Northern Ostrobothnia,Northern Savonia,Ostrobothnia,Pirkanmaa,Päijänne Tavastia,Satakunta,South Karelia,Southern Ostrobothnia,Southern Savonia,Southwest Finland,Tavastia Proper,Uusimaa,Y-W
-3.516666666666667,-1.4833333333333334,-3.483333333333333,-3.6,-9.5,-5.483333333333333,-9.683333333333334,-3.033333333333333,0.0833333333333333,-1.3666666666666665,-3.016666666666667,-0.3,-2.9500000000000006,-1.3,-4.433333333333334,0.7000000000000001,-1.9666666666666668,0.4166666666666667,2020-1
-1.657142857142857,-1.1142857142857143,-1.4714285714285715,-1.6428571428571428,-6.414285714285714,-2.7571428571428567,-7.057142857142858,-0.6571428571428571,0.5857142857142857,-1.2857142857142858,-1.7,-0.24285714285714288,-1.1142857142857143,-1.6428571428571428,-1.542857142857143,-0.5857142857142855,-1.3,1.0714285714285716,2020-2
-0.5857142857142856,-1.457142857142857,-2.1714285714285717,0.9285714285714286,-8.957142857142857,-0.7999999999999999,-8.442857142857143,-0.19999999999999998,-1.0714285714285714,1.3714285714285714,1.2,2.3428571428571425,0.6571428571428571,-0.9142857142857144,0.4714285714285714,2.585714285714286,1.3285714285714287,2.9285714285714284,2020-3
-5.6000000000000005,-5.285714285714286,-9.457142857142857,-3.0285714285714285,-14.62857142857143,-7.271428571428572,-16.985714285714288,-5.885714285714286,-1.3285714285714287,-1.8571428571428572,-2.6571428571428575,-0.42857142857142855,-3.5,-4.6000000000000005,-5.457142857142857,0.01428571428571421,-1.5857142857142856,0.2857142857142857,2020-4
-3.9,-3.1571428571428575,-8.285714285714286,-2.4714285714285715,-12.385714285714286,-7.714285714285714,-11.114285714285714,-5.7,-1.3857142857142857,-0.9571428571428572,-1.7857142857142858,0.5,-3.4714285714285715,-2.3428571428571425,-3.185714285714286,1.2857142857142858,-0.9428571428571428,1.2428571428571427,2020-5
-7.1000000000000005,-7.671428571428571,-10.27142857142857,-6.2,-12.257142857142856,-10.0,-14.414285714285715,-8.27142857142857,-5.485714285714286,-5.428571428571429,-4.942857142857143,-4.242857142857143,-6.257142857142857,-10.071428571428571,-8.0,-3.642857142857143,-4.457142857142857,-2.6,2020-6
-1.5000000000000002,-2.3000000000000003,-1.4000000000000001,-0.5714285714285714,-4.8,-1.2857142857142858,-4.1,-0.5999999999999999,-1.5285714285714285,-0.39999999999999997,-0.8714285714285713,-0.1714285714285714,-0.27142857142857146,-1.0285714285714287,-1.0142857142857142,-0.11428571428571445,-0.457142857142857,1.0142857142857142,2020-7
-1.5142857142857145,-2.314285714285714,-3.1571428571428575,-9.516197353929913e-17,-8.328571428571427,-1.8857142857142857,-7.842857142857143,-1.385714285714286,-0.9000000000000001,-0.2857142857142857,0.3142857142857142,0.3714285714285714,-0.11428571428571425,-1.8142857142857143,-1.0714285714285714,1.457142857142857,-0.18571428571428578,2.1285714285714286,2020-8
-11.571428571428571,-14.214285714285714,-13.742857142857142,-6.642857142857143,-17.057142857142857,-10.571428571428571,-18.842857142857145,-9.542857142857143,-9.328571428571427,-9.171428571428573,-6.328571428571429,-6.628571428571428,-5.928571428571429,-11.485714285714286,-9.528571428571428,-4.928571428571429,-6.914285714285714,-3.2142857142857144,2020-9
-4.714285714285714,-4.557142857142858,-6.571428571428571,-1.8714285714285717,-9.214285714285714,-5.471428571428571,-10.885714285714286,-4.271428571428571,-2.4857142857142853,-1.5,-1.5428571428571427,-0.7285714285714285,-1.5,-3.685714285714286,-3.742857142857143,-0.1714285714285714,-1.0428571428571427,0.7857142857142857,2020-10
-3.8,-2.871428571428571,-3.5,-2.514285714285714,-6.7,-3.8285714285714287,-5.757142857142857,-3.085714285714286,-1.6857142857142857,-2.5,-1.9142857142857144,-2.1714285714285713,-2.157142857142857,-2.685714285714286,-3.6,-1.0571428571428572,-1.8571428571428572,0.2714285714285714,2020-11
-6.128571428571428,-5.8999999999999995,-5.3999999999999995,-4.8,-8.742857142857144,-6.285714285714286,-9.985714285714286,-4.757142857142857,-2.9857142857142853,-3.7857142857142856,-4.271428571428571,-2.8000000000000003,-3.8285714285714287,-4.371428571428572,-5.942857142857143,-2.8,-3.642857142857143,-1.342857142857143,2020-12
