South Karelia,Southern Ostrobothnia,Southern Savonia,Kainuu,Tavastia Proper,Central Ostrobothnia,Central Finland,Kymenlaakso,Lapland,Pirkanmaa,Ostrobothnia,North Karelia,Northern Ostrobothnia,Northern Savonia,Päijänne Tavastia,Satakunta,Uusimaa,Southwest Finland,Y-W
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-02
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-04
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-05
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-06
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-07
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-08
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2020-09
0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,8,0,2020-10
0,0,0,0,5,0,12,0,0,19,0,0,26,0,0,6,181,6,2020-11
0,0,0,0,0,0,9,0,0,24,13,0,10,8,0,6,377,13,2020-12
0,0,10,8,0,0,30,0,6,40,5,0,17,18,18,0,320,11,2020-13
0,10,11,15,14,0,25,6,37,28,0,0,15,34,0,0,595,34,2020-14
0,5,7,5,5,0,11,0,44,18,6,0,7,25,12,0,616,50,2020-15
0,0,0,0,0,0,7,0,37,7,7,0,0,7,8,5,595,40,2020-16
0,0,0,0,5,0,7,0,19,10,0,0,5,0,5,0,591,16,2020-17
0,0,0,0,0,0,0,0,12,10,0,0,0,0,0,0,503,19,2020-18
0,5,0,0,5,0,0,0,10,5,0,0,0,0,11,0,488,11,2020-19
0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,0,320,9,2020-20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,14,2020-21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,7,2020-22
0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,77,0,2020-23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,2020-24
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,2020-25
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,9,2020-26
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,2020-27
0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,5,0,2020-28
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5,2020-29
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,9,2020-30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,39,5,2020-31
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,19,2020-32
0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,104,14,2020-33
0,0,0,0,0,0,9,0,0,5,0,0,0,0,0,0,104,14,2020-34
0,0,0,13,0,0,9,0,0,0,0,0,0,0,0,0,77,12,2020-35
0,0,0,7,0,0,24,0,0,20,0,0,5,0,18,0,111,0,2020-36
0,0,32,0,9,6,40,8,0,17,0,0,0,0,38,0,124,20,2020-37
0,0,15,0,20,0,60,6,0,37,0,0,0,7,21,0,224,18,2020-38
0,0,19,0,0,0,46,6,0,29,8,29,0,19,9,0,424,16,2020-39
7,17,10,0,17,0,32,0,17,37,183,13,21,16,5,0,545,57,2020-40
10,15,8,0,24,0,83,0,15,65,429,10,14,7,0,0,730,77,2020-41
5,6,0,0,15,5,89,19,9,71,139,6,21,10,14,0,689,62,2020-42
9,5,0,0,21,0,45,46,17,53,57,0,79,45,11,0,663,82,2020-43
10,7,14,0,30,0,32,40,50,60,59,0,71,20,19,5,745,160,2020-44
0,0,0,0,5,0,12,20,78,48,15,8,52,34,13,6,836,132,2020-45
5,11,84,7,6,0,21,23,37,58,39,5,46,10,39,14,984,118,2020-46
7,48,6,0,19,0,52,44,20,152,17,55,101,44,87,20,1658,100,2020-47
23,41,12,13,33,6,92,51,18,209,17,46,283,27,209,49,1634,165,2020-48
17,30,100,0,36,0,75,63,23,193,30,24,208,17,106,27,1587,279,2020-49
8,29,45,0,52,0,88,43,18,162,32,19,108,24,50,21,1559,421,2020-50
31,5,41,0,41,0,77,21,14,95,69,18,51,11,47,10,1212,428,2020-51
10,5,8,0,27,0,41,18,11,66,13,9,38,12,39,12,929,244,2020-52
19,0,5,0,25,0,66,55,25,53,40,34,115,17,39,14,940,241,2020-53
14,0,0,12,47,0,27,65,30,55,51,7,141,25,49,7,987,195,2021-01
7,19,11,10,21,0,30,37,11,126,47,22,94,75,28,11,855,195,2021-02
12,0,6,0,27,5,66,60,31,100,54,24,135,102,29,24,1273,251,2021-03
7,19,38,7,43,0,201,54,37,144,101,6,78,54,34,52,1367,285,2021-04
9,0,27,9,31,0,145,27,23,99,121,7,66,17,34,35,1557,220,2021-05
14,25,24,0,24,0,72,18,25,41,123,11,49,6,35,93,1619,189,2021-06
58,27,83,0,43,6,41,17,34,94,89,25,59,7,32,290,2066,354,2021-07
