,2019employment_rate,2020employment_rate,2019intermunicipal_migration_rate,2020intermunicipal_migration_rate,2019annual_contrib_margin,2020annual_contrib_margin,2019share_age_64,2020share_age_64,2019number_workplaces,2020number_workplaces,Code,Subdivision name (fi),Subdivision name (sv),Subdivision Name (en),nuts_code,statfinland_names,thl_namings_eng
17,75.2,,8144,1950,601.0,988.5,17.6,17.9,836622,,FI-18,Uusimaa,Nyland,Uusimaa,FI1B1,Uusimaa,Uusimaa
18,72.4,,887,1380,74.1,532.6,23.3,23.7,202061,,FI-19,Varsinais-Suomi,Egentliga Finland,Southwest Finland,FI1C1,Southwest Finland,Southwest Finland
16,71.2,,-1141,-719,63.9,596.9,27.2,27.7,86401,,FI-17,Satakunta,Satakunda,Satakunta,FI196,Satakunta,Satakunta
5,73.1,,-69,137,197.5,609.6,25.3,25.8,64199,,FI-06,Kanta-Häme,Egentliga Tavastland,Tavastia Proper,FI1C2,Kanta-Häme,Tavastia Proper
10,71.4,,1886,2517,305.6,706.8,21.8,22.1,217811,,FI-11,Pirkanmaa,Birkaland,Pirkanmaa,FI197,Pirkanmaa,Pirkanmaa
15,69.5,,-591,-5,222.7,866.6,26.7,27.3,77081,,FI-16,Päijät-Häme,Päijänne-Tavastland,Päijänne Tavastia,FI1C3,Päijät-Häme,Päijänne Tavastia
8,67.9,,-1286,-848,175.6,763.5,28.0,28.6,61440,,FI-09,Kymenlaakso,Kymmenedalen,Kymenlaakso,FI1C4,Kymenlaakso,Kymenlaakso
1,67.4,,-488,-305,387.3,484.5,27.4,28.0,47995,,FI-02,Etelä-Karjala,Södra Karelen,South Karelia,FI1C5,South Karelia,South Karelia
3,68.9,,-1228,-688,143.5,770.0,30.9,31.7,50145,,FI-04,Etelä-Savo,Södra Savolax,Southern Savonia,FI1D1,South Savo,Southern Savonia
14,69.5,,-543,-129,162.0,551.8,25.3,25.9,98975,,FI-15,Pohjois-Savo,Norra Savolax,Northern Savonia,FI1D2,North Savo,Northern Savonia
12,64.8,,-636,-360,345.7,836.1,26.5,27.3,60515,,FI-13,Pohjois-Karjala,Norra Karelen,North Karelia,FI1D3,North Karelia,North Karelia
7,68.0,,-262,-184,94.5,589.7,23.2,23.7,106637,,FI-08,Keski-Suomi,Mellersta Finland,Central Finland,FI193,Central Finland,Central Finland
2,73.8,,-935,-612,123.6,581.9,25.4,26.0,77419,,FI-03,Etelä-Pohjanmaa,Södra Österbotten,Southern Ostrobothnia,FI194,South Ostrobothnia,Southern Ostrobothnia
11,76.7,,-986,-878,275.3,740.5,23.0,23.4,78711,,FI-12,Pohjanmaa,Österbotten,Ostrobothnia,FI195,Ostrobothnia,Ostrobothnia
6,74.3,,-450,-290,189.5,632.0,23.4,23.8,28177,,FI-07,Keski-Pohjanmaa,Mellersta Österbotten,Central Ostrobothnia,FI1D5,Central Ostrobothnia,Central Ostrobothnia
13,69.5,,-862,-494,185.0,541.1,19.6,20.2,164619,,FI-14,Pohjois-Pohjanmaa,Norra Österbotten,Northern Ostrobothnia,FI1D9,North Ostrobothnia,Northern Ostrobothnia
4,68.3,,-462,-237,857.2,222.2,28.5,29.2,27218,,FI-05,Kainuu,Kajanaland,Kainuu,FI1D8,Kainuu,Kainuu
9,70.3,,-968,-239,-0.3,599.2,25.3,26.0,71925,,FI-10,Lappi,Lappland,Lapland,FI1D7,Lapland,Lapland
