Year,m,d,Time,Time zone,Precipitation amount (mm),Maximum temperature (degC),Minimum temperature (degC)
2020,1,1,00:00,UTC,,-3.4,-14.3
2020,1,2,00:00,UTC,,3.4,-3.4
2020,1,3,00:00,UTC,,4.2,-0.8
2020,1,4,00:00,UTC,,-0.8,-9.9
2020,1,5,00:00,UTC,,-2.7,-15.6
2020,1,6,00:00,UTC,,-2.6,-14.1
2020,1,7,00:00,UTC,,1.7,-5.5
2020,1,8,00:00,UTC,,2,0.6
2020,1,9,00:00,UTC,,1.9,-1.4
2020,1,10,00:00,UTC,,-1,-10.3
2020,1,11,00:00,UTC,,-1.3,-12.4
2020,1,12,00:00,UTC,,0.2,-5.2
2020,1,13,00:00,UTC,,-3,-15.2
2020,1,14,00:00,UTC,,0.7,-9.7
2020,1,15,00:00,UTC,,0.7,-1.3
2020,1,16,00:00,UTC,,-1.3,-10.9
2020,1,17,00:00,UTC,,-3.6,-12.2
2020,1,18,00:00,UTC,,-4.4,-11.4
2020,1,19,00:00,UTC,,-3.4,-7.1
2020,1,20,00:00,UTC,,0.9,-6.5
2020,1,21,00:00,UTC,,1.3,-5.4
2020,1,22,00:00,UTC,,-3.8,-11.3
2020,1,23,00:00,UTC,,-4,-15.1
2020,1,24,00:00,UTC,,-2.7,-14.3
2020,1,25,00:00,UTC,,-11.3,-18.5
2020,1,26,00:00,UTC,,-13.8,-23.9
2020,1,27,00:00,UTC,,-16.1,-30.4
2020,1,28,00:00,UTC,,-8.8,-16.1
2020,1,29,00:00,UTC,,-7.6,-10.3
2020,1,30,00:00,UTC,,-6.5,-8.1
2020,1,31,00:00,UTC,,-6.7,-8.9
2020,2,1,00:00,UTC,,-8.2,-12.9
2020,2,2,00:00,UTC,,-7.2,-10.7
2020,2,3,00:00,UTC,,-3.3,-10.8
2020,2,4,00:00,UTC,,-8.3,-21.7
2020,2,5,00:00,UTC,,-11.6,-25.1
2020,2,6,00:00,UTC,,-5.2,-20.2
2020,2,7,00:00,UTC,,-4.6,-18.6
2020,2,8,00:00,UTC,,-0.5,-14
2020,2,9,00:00,UTC,,0.6,-1.2
2020,2,10,00:00,UTC,,2.8,-0.1
2020,2,11,00:00,UTC,,1.9,0.2
2020,2,12,00:00,UTC,,0.3,-0.9
2020,2,13,00:00,UTC,,0.7,-0.7
2020,2,14,00:00,UTC,,-0.5,-7.6
2020,2,15,00:00,UTC,,-1.3,-15.7
2020,2,16,00:00,UTC,,1.1,-3.5
2020,2,17,00:00,UTC,,2.2,-0.5
2020,2,18,00:00,UTC,,-0.1,-2.5
2020,2,19,00:00,UTC,,-2.3,-9.3
2020,2,20,00:00,UTC,,-7.2,-22.1
2020,2,21,00:00,UTC,,1.1,-9
2020,2,22,00:00,UTC,,2.5,0.2
2020,2,23,00:00,UTC,,1.8,-4.5
2020,2,24,00:00,UTC,,-0.1,-7.7
2020,2,25,00:00,UTC,,-3.5,-14
2020,2,26,00:00,UTC,,-10,-23.1
2020,2,27,00:00,UTC,,-5.6,-19.7
2020,2,28,00:00,UTC,,-2.7,-14.9
2020,2,29,00:00,UTC,,-8.4,-21.9
2020,3,1,00:00,UTC,,-8.8,-23.4
2020,3,2,00:00,UTC,,-6.8,-14.9
2020,3,3,00:00,UTC,,-4.3,-21.1
2020,3,4,00:00,UTC,,-4.1,-19.7
2020,3,5,00:00,UTC,,-3.4,-7.9
2020,3,6,00:00,UTC,,-1.7,-7.1
2020,3,7,00:00,UTC,,0.9,-14.2
2020,3,8,00:00,UTC,,1.7,-6.9
2020,3,9,00:00,UTC,,2.5,0.7
2020,3,10,00:00,UTC,,3.6,0
2020,3,11,00:00,UTC,,2.5,-1.3
2020,3,12,00:00,UTC,,2.3,0
2020,3,13,00:00,UTC,,0.3,-8.6
2020,3,14,00:00,UTC,,-4.4,-13.9
2020,3,15,00:00,UTC,,0.8,-12
2020,3,16,00:00,UTC,,0.7,-4.5
2020,3,17,00:00,UTC,,0.2,-5.2
2020,3,18,00:00,UTC,,5.1,-3.5
2020,3,19,00:00,UTC,,0.7,-11.5
2020,3,20,00:00,UTC,,-0.5,-16
2020,3,21,00:00,UTC,,-0.4,-17.5
2020,3,22,00:00,UTC,,0.2,-13.8
2020,3,23,00:00,UTC,,3.8,-2.4
2020,3,24,00:00,UTC,,5.1,0.2
2020,3,25,00:00,UTC,,6,1.5
2020,3,26,00:00,UTC,,5.8,-3.5
2020,3,27,00:00,UTC,,6.4,-2.7
2020,3,28,00:00,UTC,,2.4,-3
2020,3,29,00:00,UTC,,-0.3,-9.4
2020,3,30,00:00,UTC,,0.1,-13
2020,3,31,00:00,UTC,,2.3,-10.3
2020,4,1,00:00,UTC,,1.2,-5.4
2020,4,2,00:00,UTC,,-1.3,-11.8
2020,4,3,00:00,UTC,,-0.1,-7.2
2020,4,4,00:00,UTC,,1.9,-16.5
2020,4,5,00:00,UTC,,1.1,-13.8
2020,4,6,00:00,UTC,,2.2,-16.2
2020,4,7,00:00,UTC,,3.7,-1.8
2020,4,8,00:00,UTC,,8.3,-3.6
2020,4,9,00:00,UTC,,3.4,-1.4
2020,4,10,00:00,UTC,,3,-8.5
2020,4,11,00:00,UTC,,3.6,-9.1
2020,4,12,00:00,UTC,,0.6,-5.1
2020,4,13,00:00,UTC,,2.4,0
2020,4,14,00:00,UTC,,3.9,-1.2
2020,4,15,00:00,UTC,,1.9,-1.3
2020,4,16,00:00,UTC,,6,-2.7
2020,4,17,00:00,UTC,,3,-0.9
2020,4,18,00:00,UTC,,4,1
2020,4,19,00:00,UTC,,7.8,-1.1
2020,4,20,00:00,UTC,,10.2,1.1
2020,4,21,00:00,UTC,,8.9,0.1
2020,4,22,00:00,UTC,,8.5,-3.9
2020,4,23,00:00,UTC,,5.7,-1.6
2020,4,24,00:00,UTC,,2.7,-3.6
2020,4,25,00:00,UTC,,3.1,-1.8
2020,4,26,00:00,UTC,,5.2,-0.7
2020,4,27,00:00,UTC,,3.5,-3
2020,4,28,00:00,UTC,,4.9,-2.2
2020,4,29,00:00,UTC,,5,-2.2
2020,4,30,00:00,UTC,,4.6,-4.7
2020,5,1,00:00,UTC,,7.3,-4.7
2020,5,2,00:00,UTC,,5.7,1.2
2020,5,3,00:00,UTC,,5.3,1.8
2020,5,4,00:00,UTC,,7.8,1.6
2020,5,5,00:00,UTC,,9.9,-0.1
2020,5,6,00:00,UTC,,9.1,2.5
2020,5,7,00:00,UTC,,9.4,-0.9
2020,5,8,00:00,UTC,,7.3,-2.3
2020,5,9,00:00,UTC,,8.5,-2.6
2020,5,10,00:00,UTC,,5.1,-3.2
2020,5,11,00:00,UTC,,7.6,-0.2
2020,5,12,00:00,UTC,,8.1,-3.3
2020,5,13,00:00,UTC,,9.4,-3.3
2020,5,14,00:00,UTC,,9.3,-3.2
2020,5,15,00:00,UTC,,7.5,-2.3
2020,5,16,00:00,UTC,,8.7,-2.1
2020,5,17,00:00,UTC,,10.1,-1.6
2020,5,18,00:00,UTC,,9.8,-0.8
2020,5,19,00:00,UTC,,9.8,-0.5
2020,5,20,00:00,UTC,,10.3,1.1
2020,5,21,00:00,UTC,,11.7,-1.3
2020,5,22,00:00,UTC,,15.3,-0.8
2020,5,23,00:00,UTC,,17.1,0.3
2020,5,24,00:00,UTC,,19.1,2.6
2020,5,25,00:00,UTC,,21,8.1
2020,5,26,00:00,UTC,,21.3,5.8
2020,5,27,00:00,UTC,,17.9,8.3
2020,5,28,00:00,UTC,,15.7,4.5
2020,5,29,00:00,UTC,,13.8,5
2020,5,30,00:00,UTC,,17.1,4.5
2020,5,31,00:00,UTC,,19.1,9.2
2020,6,1,00:00,UTC,,24.8,8.8
2020,6,2,00:00,UTC,,23.5,11.9
2020,6,3,00:00,UTC,,19.1,10.9
2020,6,4,00:00,UTC,,21.6,10.3
2020,6,5,00:00,UTC,,19.6,11.6
2020,6,6,00:00,UTC,,20.4,11.8
2020,6,7,00:00,UTC,,19.4,9.4
2020,6,8,00:00,UTC,,18,9.6
2020,6,9,00:00,UTC,,19,8.2
2020,6,10,00:00,UTC,,19,8.8
2020,6,11,00:00,UTC,,19.9,7.6
2020,6,12,00:00,UTC,,21.6,8.1
2020,6,13,00:00,UTC,,26.3,10.1
2020,6,14,00:00,UTC,,27.3,12.5
2020,6,15,00:00,UTC,,23.7,13.8
2020,6,16,00:00,UTC,,18.6,8.6
2020,6,17,00:00,UTC,,25.3,9
2020,6,18,00:00,UTC,,24.1,13.7
2020,6,19,00:00,UTC,,18.9,13.9
2020,6,20,00:00,UTC,,19.8,8.8
2020,6,21,00:00,UTC,,25.1,9.7
2020,6,22,00:00,UTC,,27.8,12.5
2020,6,23,00:00,UTC,,26,16.5
2020,6,24,00:00,UTC,,28,17.1
2020,6,25,00:00,UTC,,26.5,15.8
2020,6,26,00:00,UTC,,24.5,14.7
2020,6,27,00:00,UTC,,20,10.9
2020,6,28,00:00,UTC,,21.2,8.4
2020,6,29,00:00,UTC,,23.5,11.1
2020,6,30,00:00,UTC,,19.5,13.4
2020,7,1,00:00,UTC,,16.5,9.6
2020,7,2,00:00,UTC,,16.9,9
2020,7,3,00:00,UTC,,15.2,8.4
2020,7,4,00:00,UTC,,19.4,9.4
2020,7,5,00:00,UTC,,15.4,9.2
2020,7,6,00:00,UTC,,14.9,8.1
2020,7,7,00:00,UTC,,17.5,11.2
2020,7,8,00:00,UTC,,18.6,11.2
2020,7,9,00:00,UTC,,20.6,11.4
2020,7,10,00:00,UTC,,15.6,10.2
2020,7,11,00:00,UTC,,18.5,8.7
2020,7,12,00:00,UTC,,19,8.5
2020,7,13,00:00,UTC,,18.4,11.7
2020,7,14,00:00,UTC,,17,11.4
2020,7,15,00:00,UTC,,19.4,10.3
2020,7,16,00:00,UTC,,22.9,10.9
2020,7,17,00:00,UTC,,24.5,11.4
2020,7,18,00:00,UTC,,24.2,14.9
2020,7,19,00:00,UTC,,22.5,16.2
2020,7,20,00:00,UTC,,24.9,15.5
2020,7,21,00:00,UTC,,24.9,16.5
2020,7,22,00:00,UTC,,21.3,16.5
2020,7,23,00:00,UTC,,21.7,15.2
2020,7,24,00:00,UTC,,18.5,11.9
2020,7,25,00:00,UTC,,18.1,10.4
2020,7,26,00:00,UTC,,19.8,14.6
2020,7,27,00:00,UTC,,23.6,10.3
2020,7,28,00:00,UTC,,22.8,15.4
2020,7,29,00:00,UTC,,22.7,16.5
2020,7,30,00:00,UTC,,21.8,14.8
2020,7,31,00:00,UTC,,19.9,10.8
2020,8,1,00:00,UTC,,22.9,7.9
2020,8,2,00:00,UTC,,18.5,11.2
2020,8,3,00:00,UTC,,20.9,7.7
2020,8,4,00:00,UTC,,19.1,8.7
2020,8,5,00:00,UTC,,21.5,13.6
2020,8,6,00:00,UTC,,22.6,11.3
2020,8,7,00:00,UTC,,23.6,14.1
2020,8,8,00:00,UTC,,26.2,13.4
2020,8,9,00:00,UTC,,23.2,15.2
2020,8,10,00:00,UTC,,16.4,8.9
2020,8,11,00:00,UTC,,17.6,10.7
2020,8,12,00:00,UTC,,18.3,10.7
2020,8,13,00:00,UTC,,18,11.9
2020,8,14,00:00,UTC,,21.6,13.3
2020,8,15,00:00,UTC,,21,13.8
2020,8,16,00:00,UTC,,17.8,8.7
2020,8,17,00:00,UTC,,15.5,6.4
2020,8,18,00:00,UTC,,18.7,4.7
2020,8,19,00:00,UTC,,22.9,6.9
2020,8,20,00:00,UTC,,19.8,14.4
2020,8,21,00:00,UTC,,23.5,15.6
2020,8,22,00:00,UTC,,21.4,13.8
2020,8,23,00:00,UTC,,20.3,15.6
2020,8,24,00:00,UTC,,19.1,9.7
2020,8,25,00:00,UTC,,16.8,5.8
2020,8,26,00:00,UTC,,13,7.8
