nuts_code,nuts_level,country,nuts_1,nuts_2,nuts_3
FI,0.0,SUOMI / FINLAND,,,
FI1,1.0,,MANNER-SUOMI,,
FI19,2.0,,,Länsi-Suomi,
FI193,3.0,,,,Keski-Suomi
FI194,3.0,,,,Etelä-Pohjanmaa
FI195,3.0,,,,Pohjanmaa
FI196,3.0,,,,Satakunta
FI197,3.0,,,,Pirkanmaa
FI1B,2.0,,,Helsinki-Uusimaa,
FI1B1,3.0,,,,Helsinki-Uusimaa
FI1C,2.0,,,Etelä-Suomi,
FI1C1,3.0,,,,Varsinais-Suomi
FI1C2,3.0,,,,Kanta-Häme
FI1C3,3.0,,,,Päijät-Häme
FI1C4,3.0,,,,Kymenlaakso
FI1C5,3.0,,,,Etelä-Karjala
FI1D,2.0,,,Pohjois- ja Itä-Suomi,
FI1D1,3.0,,,,Etelä-Savo
FI1D2,3.0,,,,Pohjois-Savo
FI1D3,3.0,,,,Pohjois-Karjala
FI1D4,3.0,,,,Kainuu
FI1D5,3.0,,,,Keski-Pohjanmaa
FI1D6,3.0,,,,Pohjois-Pohjanmaa
FI1D7,3.0,,,,Lappi
