Code,Subdivision name (fi),Subdivision name (sv),Subdivision Name (en),nuts_code, Subdivision name(engSTATFINLAND),thl_namings_eng
FI-02,Etelä-Karjala,Södra Karelen,South Karelia,FI1C5,South Karelia,South Karelia
FI-03,Etelä-Pohjanmaa,Södra Österbotten,Southern Ostrobothnia,FI194,South Ostrobothnia,Southern Ostrobothnia
FI-04,Etelä-Savo,Södra Savolax,Southern Savonia,FI1D1,South Savo,Southern Savonia
FI-05,Kainuu,Kajanaland,Kainuu,FI1D8,Kainuu,Kainuu
FI-06,Kanta-Häme,Egentliga Tavastland,Tavastia Proper,FI1C2,Kanta-Häme,Tavastia Proper
FI-07,Keski-Pohjanmaa,Mellersta Österbotten,Central Ostrobothnia,FI1D5,Central Ostrobothnia,Central Ostrobothnia
FI-08,Keski-Suomi,Mellersta Finland,Central Finland,FI193,Central Finland,Central Finland
FI-09,Kymenlaakso,Kymmenedalen,Kymenlaakso,FI1C4,Kymenlaakso,Kymenlaakso
FI-10,Lappi,Lappland,Lapland,FI1D7,Lapland,Lapland
FI-11,Pirkanmaa,Birkaland,Pirkanmaa,FI197,Pirkanmaa,Pirkanmaa
FI-12,Pohjanmaa,Österbotten,Ostrobothnia,FI195,Ostrobothnia,Ostrobothnia
FI-13,Pohjois-Karjala,Norra Karelen,North Karelia,FI1D3,North Karelia,North Karelia
FI-14,Pohjois-Pohjanmaa,Norra Österbotten,Northern Ostrobothnia,FI1D9,North Ostrobothnia,Northern Ostrobothnia
FI-15,Pohjois-Savo,Norra Savolax,Northern Savonia,FI1D2,North Savo,Northern Savonia
FI-16,Päijät-Häme,Päijänne-Tavastland,Päijänne Tavastia,FI1C3,Päijät-Häme,Päijänne Tavastia
FI-17,Satakunta,Satakunda,Satakunta,FI196,Satakunta,Satakunta
FI-18,Uusimaa,Nyland,Uusimaa,FI1B1,Uusimaa,Uusimaa
FI-19,Varsinais-Suomi,Egentliga Finland,Southwest Finland,FI1C1,Southwest Finland,Southwest Finland
