code;level;classificationItemName
"'FI1'";1;"MAINLAND FINLAND"
"'FI19'";2;"Western Finland"
"'FI193'";3;"Central Finland"
"'FI194'";3;"South Ostrobothnia"
"'FI195'";3;"Ostrobothnia"
"'FI196'";3;"Satakunta"
"'FI197'";3;"Pirkanmaa"
"'FI1B'";2;"Helsinki-Uusimaa"
"'FI1B1'";3;"Helsinki-Uusimaa"
"'FI1C'";2;"Southern Finland"
"'FI1C1'";3;"Southwest Finland"
"'FI1C2'";3;"Kanta-H�me"
"'FI1C3'";3;"P�ij�t-H�me"
"'FI1C4'";3;"Kymenlaakso"
"'FI1C5'";3;"South Karelia"
"'FI1D'";2;"Northern and Eastern Finland"
"'FI1D1'";3;"South Savo"
"'FI1D2'";3;"North Savo"
"'FI1D3'";3;"North Karelia"
"'FI1D5'";3;"Central Ostrobothnia"
"'FI1D7'";3;"Lapland"
"'FI1D8'";3;"Kainuu"
"'FI1D9'";3;"North Ostrobothnia"
"'FI2'";1;"�LAND"
"'FI20'";2;"�land"
"'FI200'";3;"�land"

