,user_loc,fr_loc,scaled_sci
12048920,FI193,FI193,2433320
12048921,FI193,FI194,194521
12048922,FI193,FI195,63308
12048923,FI193,FI196,82296
12048924,FI193,FI197,193217
12048925,FI193,FI1B1,113537
12048926,FI193,FI1C1,79109
12048927,FI193,FI1C2,109935
12048928,FI193,FI1C3,136017
12048929,FI193,FI1C4,100605
12048930,FI193,FI1C5,105487
12048931,FI193,FI1D1,234339
12048932,FI193,FI1D2,215101
12048933,FI193,FI1D3,126479
12048934,FI193,FI1D5,169319
12048935,FI193,FI1D7,122472
12048936,FI193,FI1D8,135387
12048937,FI193,FI1D9,114741
12056909,FI194,FI193,194521
12056910,FI194,FI194,5057545
12056911,FI194,FI195,422753
12056912,FI194,FI196,161632
12056913,FI194,FI197,203918
12056914,FI194,FI1B1,84762
12056915,FI194,FI1C1,85323
12056916,FI194,FI1C2,93691
12056917,FI194,FI1C3,66387
12056918,FI194,FI1C4,53719
12056919,FI194,FI1C5,47770
12056920,FI194,FI1D1,58613
12056921,FI194,FI1D2,86424
12056922,FI194,FI1D3,63510
12056923,FI194,FI1D5,332229
12056924,FI194,FI1D7,100675
12056925,FI194,FI1D8,99119
12056926,FI194,FI1D9,107261
12064898,FI195,FI193,63308
12064899,FI195,FI194,422753
12064900,FI195,FI195,5173799
12064901,FI195,FI196,67953
12064902,FI195,FI197,85276
12064903,FI195,FI1B1,87380
12064904,FI195,FI1C1,106934
12064905,FI195,FI1C2,48566
12064906,FI195,FI1C3,34867
12064907,FI195,FI1C4,29536
12064908,FI195,FI1C5,28429
12064909,FI195,FI1D1,29305
12064910,FI195,FI1D2,39118
12064911,FI195,FI1D3,31533
12064912,FI195,FI1D5,526381
12064913,FI195,FI1D7,55696
12064914,FI195,FI1D8,47533
12064915,FI195,FI1D9,63326
12072887,FI196,FI193,82296
12072888,FI196,FI194,161632
12072889,FI196,FI195,67953
12072890,FI196,FI196,4094668
12072891,FI196,FI197,219644
12072892,FI196,FI1B1,81550
12072893,FI196,FI1C1,272933
12072894,FI196,FI1C2,110258
12072895,FI196,FI1C3,62176
12072896,FI196,FI1C4,56682
12072897,FI196,FI1C5,53452
12072898,FI196,FI1D1,53132
12072899,FI196,FI1D2,54775
12072900,FI196,FI1D3,51781
12072901,FI196,FI1D5,65147
12072902,FI196,FI1D7,65731
12072903,FI196,FI1D8,52030
12072904,FI196,FI1D9,52369
12080876,FI197,FI193,193217
12080877,FI197,FI194,203918
12080878,FI197,FI195,85276
12080879,FI197,FI196,219644
12080880,FI197,FI197,1352817
12080881,FI197,FI1B1,122946
12080882,FI197,FI1C1,125045
12080883,FI197,FI1C2,236871
12080884,FI197,FI1C3,119904
12080885,FI197,FI1C4,90180
12080886,FI197,FI1C5,86621
12080887,FI197,FI1D1,93146
12080888,FI197,FI1D2,105688
12080889,FI197,FI1D3,94223
12080890,FI197,FI1D5,110533
12080891,FI197,FI1D7,113857
12080892,FI197,FI1D8,95030
12080893,FI197,FI1D9,93497
12088865,FI1B1,FI193,113537
12088866,FI1B1,FI194,84762
12088867,FI1B1,FI195,87380
12088868,FI1B1,FI196,81550
12088869,FI1B1,FI197,122946
12088870,FI1B1,FI1B1,499354
12088871,FI1B1,FI1C1,129308
12088872,FI1B1,FI1C2,160649
12088873,FI1B1,FI1C3,141428
12088874,FI1B1,FI1C4,134383
12088875,FI1B1,FI1C5,112427
12088876,FI1B1,FI1D1,112695
12088877,FI1B1,FI1D2,97063
12088878,FI1B1,FI1D3,103970
12088879,FI1B1,FI1D5,76786
12088880,FI1B1,FI1D7,100236
12088881,FI1B1,FI1D8,79345
12088882,FI1B1,FI1D9,79860
12096854,FI1C1,FI193,79109
12096855,FI1C1,FI194,85323
12096856,FI1C1,FI195,106934
12096857,FI1C1,FI196,272933
12096858,FI1C1,FI197,125045
12096859,FI1C1,FI1B1,129308
12096860,FI1C1,FI1C1,1622921
12096861,FI1C1,FI1C2,157111
12096862,FI1C1,FI1C3,74056
12096863,FI1C1,FI1C4,64272
12096864,FI1C1,FI1C5,59907
12096865,FI1C1,FI1D1,56647
12096866,FI1C1,FI1D2,58787
12096867,FI1C1,FI1D3,59190
12096868,FI1C1,FI1D5,79940
12096869,FI1C1,FI1D7,74283
12096870,FI1C1,FI1D8,53034
12096871,FI1C1,FI1D9,54872
12104843,FI1C2,FI193,109935
12104844,FI1C2,FI194,93691
12104845,FI1C2,FI195,48566
12104846,FI1C2,FI196,110258
12104847,FI1C2,FI197,236871
12104848,FI1C2,FI1B1,160649
12104849,FI1C2,FI1C1,157111
12104850,FI1C2,FI1C2,3713073
12104851,FI1C2,FI1C3,210232
12104852,FI1C2,FI1C4,101643
12104853,FI1C2,FI1C5,87127
12104854,FI1C2,FI1D1,92381
12104855,FI1C2,FI1D2,79706
12104856,FI1C2,FI1D3,84965
12104857,FI1C2,FI1D5,67653
12104858,FI1C2,FI1D7,89424
12104859,FI1C2,FI1D8,74543
12104860,FI1C2,FI1D9,62995
12112832,FI1C3,FI193,136017
12112833,FI1C3,FI194,66387
12112834,FI1C3,FI195,34867
12112835,FI1C3,FI196,62176
12112836,FI1C3,FI197,119904
12112837,FI1C3,FI1B1,141428
12112838,FI1C3,FI1C1,74056
12112839,FI1C3,FI1C2,210232
12112840,FI1C3,FI1C3,2848024
12112841,FI1C3,FI1C4,230724
12112842,FI1C3,FI1C5,133770
12112843,FI1C3,FI1D1,177411
12112844,FI1C3,FI1D2,95671
12112845,FI1C3,FI1D3,100008
12112846,FI1C3,FI1D5,52733
12112847,FI1C3,FI1D7,82017
12112848,FI1C3,FI1D8,77714
12112849,FI1C3,FI1D9,55502
12120821,FI1C4,FI193,100605
12120822,FI1C4,FI194,53719
12120823,FI1C4,FI195,29536
12120824,FI1C4,FI196,56682
12120825,FI1C4,FI197,90180
12120826,FI1C4,FI1B1,134383
12120827,FI1C4,FI1C1,64272
12120828,FI1C4,FI1C2,101643
12120829,FI1C4,FI1C3,230724
12120830,FI1C4,FI1C4,4739676
12120831,FI1C4,FI1C5,332524
12120832,FI1C4,FI1D1,183592
12120833,FI1C4,FI1D2,89245
12120834,FI1C4,FI1D3,112981
12120835,FI1C4,FI1D5,43249
12120836,FI1C4,FI1D7,65601
12120837,FI1C4,FI1D8,63985
12120838,FI1C4,FI1D9,43572
12128810,FI1C5,FI193,105487
12128811,FI1C5,FI194,47770
12128812,FI1C5,FI195,28429
12128813,FI1C5,FI196,53452
12128814,FI1C5,FI197,86621
12128815,FI1C5,FI1B1,112427
12128816,FI1C5,FI1C1,59907
12128817,FI1C5,FI1C2,87127
12128818,FI1C5,FI1C3,133770
12128819,FI1C5,FI1C4,332524
12128820,FI1C5,FI1C5,4578337
12128821,FI1C5,FI1D1,393767
12128822,FI1C5,FI1D2,116311
12128823,FI1C5,FI1D3,210107
12128824,FI1C5,FI1D5,39005
12128825,FI1C5,FI1D7,68859
12128826,FI1C5,FI1D8,71980
12128827,FI1C5,FI1D9,43944
12136799,FI1D1,FI193,234339
12136800,FI1D1,FI194,58613
12136801,FI1D1,FI195,29305
12136802,FI1D1,FI196,53132
12136803,FI1D1,FI197,93146
12136804,FI1D1,FI1B1,112695
12136805,FI1D1,FI1C1,56647
12136806,FI1D1,FI1C2,92381
12136807,FI1D1,FI1C3,177411
12136808,FI1D1,FI1C4,183592
12136809,FI1D1,FI1C5,393767
12136810,FI1D1,FI1D1,5086780
12136811,FI1D1,FI1D2,372639
12136812,FI1D1,FI1D3,254752
12136813,FI1D1,FI1D5,53328
12136814,FI1D1,FI1D7,82064
12136815,FI1D1,FI1D8,92786
12136816,FI1D1,FI1D9,53722
12144788,FI1D2,FI193,215101
12144789,FI1D2,FI194,86424
12144790,FI1D2,FI195,39118
12144791,FI1D2,FI196,54775
12144792,FI1D2,FI197,105688
12144793,FI1D2,FI1B1,97063
12144794,FI1D2,FI1C1,58787
12144795,FI1D2,FI1C2,79706
12144796,FI1D2,FI1C3,95671
12144797,FI1D2,FI1C4,89245
12144798,FI1D2,FI1C5,116311
12144799,FI1D2,FI1D1,372639
12144800,FI1D2,FI1D2,3015278
12144801,FI1D2,FI1D3,331228
12144802,FI1D2,FI1D5,94736
12144803,FI1D2,FI1D7,104916
12144804,FI1D2,FI1D8,312242
12144805,FI1D2,FI1D9,116855
12152777,FI1D3,FI193,126479
12152778,FI1D3,FI194,63510
12152779,FI1D3,FI195,31533
12152780,FI1D3,FI196,51781
12152781,FI1D3,FI197,94223
12152782,FI1D3,FI1B1,103970
12152783,FI1D3,FI1C1,59190
12152784,FI1D3,FI1C2,84965
12152785,FI1D3,FI1C3,100008
12152786,FI1D3,FI1C4,112981
12152787,FI1D3,FI1C5,210107
12152788,FI1D3,FI1D1,254752
12152789,FI1D3,FI1D2,331228
12152790,FI1D3,FI1D3,4607870
12152791,FI1D3,FI1D5,71365
12152792,FI1D3,FI1D7,82728
12152793,FI1D3,FI1D8,237017
12152794,FI1D3,FI1D9,72134
12160766,FI1D5,FI193,169319
12160767,FI1D5,FI194,332229
12160768,FI1D5,FI195,526381
12160769,FI1D5,FI196,65147
12160770,FI1D5,FI197,110533
12160771,FI1D5,FI1B1,76786
12160772,FI1D5,FI1C1,79940
12160773,FI1D5,FI1C2,67653
12160774,FI1D5,FI1C3,52733
12160775,FI1D5,FI1C4,43249
12160776,FI1D5,FI1C5,39005
12160777,FI1D5,FI1D1,53328
12160778,FI1D5,FI1D2,94736
12160779,FI1D5,FI1D3,71365
12160780,FI1D5,FI1D5,8785190
12160781,FI1D5,FI1D7,124681
12160782,FI1D5,FI1D8,142455
12160783,FI1D5,FI1D9,300807
12168755,FI1D7,FI193,122472
12168756,FI1D7,FI194,100675
12168757,FI1D7,FI195,55696
12168758,FI1D7,FI196,65731
12168759,FI1D7,FI197,113857
12168760,FI1D7,FI1B1,100236
12168761,FI1D7,FI1C1,74283
12168762,FI1D7,FI1C2,89424
12168763,FI1D7,FI1C3,82017
12168764,FI1D7,FI1C4,65601
12168765,FI1D7,FI1C5,68859
12168766,FI1D7,FI1D1,82064
12168767,FI1D7,FI1D2,104916
12168768,FI1D7,FI1D3,82728
12168769,FI1D7,FI1D5,124681
12168770,FI1D7,FI1D7,4774671
12168771,FI1D7,FI1D8,187006
12168772,FI1D7,FI1D9,467578
12176744,FI1D8,FI193,135387
12176745,FI1D8,FI194,99119
12176746,FI1D8,FI195,47533
12176747,FI1D8,FI196,52030
12176748,FI1D8,FI197,95030
